Category,Message,word_count,uppercase_word_count,unique_word_count,character_count,letter_count,flagged_word_count,flagged_bigrams_count,digit_count,links_count,free_count,special_count
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,30,1,27,155,119,0,0,0,0,0,0
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,17,1,17,82,63,0,0,0,0,0,0
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",28,5,20,142,94,0,0,0,0,0,0
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,29,1,25,172,113,5,0,22,0,2,0
ham,WHO ARE YOU SEEING?,4,4,4,19,15,0,0,0,0,0,0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,13,2,12,72,48,0,0,0,0,0,0
ham,No calls..messages..missed calls,3,0,3,32,26,0,0,0,0,0,0
ham,Didn't you get hep b immunisation in nigeria.,8,0,8,45,36,0,0,0,0,0,0
ham,"Fair enough, anything going on?",5,0,5,31,25,0,0,0,0,0,0
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",14,1,14,67,52,0,0,0,0,0,0
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,30,4,26,148,112,0,0,0,0,0,0
ham,What you thinked about me. First time you saw me in class.,12,0,10,58,45,0,0,0,0,0,0
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",22,1,18,124,89,0,0,0,0,0,0
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,16,1,16,80,64,0,0,0,0,0,0
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",55,3,38,289,221,0,0,0,0,0,0
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,22,3,19,120,94,1,0,0,0,0,0
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,12,0,12,76,57,1,0,0,0,0,1
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",27,3,27,160,98,3,0,24,0,1,0
ham,"Sorry, I'll call later in meeting.",6,0,6,34,26,1,0,0,0,0,0
ham,Tell where you reached,4,0,4,22,19,0,0,0,0,0,0
ham,Yes..gauti and sehwag out of odi series.,7,0,7,40,31,0,0,0,0,0,0
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,23,1,22,108,80,0,0,1,0,0,0
ham,Ha ha ha good joke. Girls are situation seekers.,9,0,7,48,38,0,0,0,0,0,0
ham,Its a part of checking IQ,6,1,6,25,20,0,0,0,0,0,0
ham,"Sorry my roommates took forever, it ok if I come by now?",12,1,12,56,43,1,0,0,0,0,0
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,24,0,20,110,85,0,0,0,0,0,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",28,1,26,152,106,3,0,15,0,0,0
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",23,0,21,122,92,0,0,0,0,0,0
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",22,4,20,159,105,3,0,21,0,0,0
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",15,0,15,78,59,1,0,0,0,0,0
ham,I plane to give on this month end.,8,1,8,34,26,0,0,0,0,0,0
ham,Wah lucky man... Then can save money... Hee...,8,0,8,46,30,1,0,0,0,0,0
ham,Finished class where are you.,5,0,5,29,24,0,0,0,0,0,0
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,10,10,10,45,35,1,0,0,0,0,0
ham,K..k:)where are you?how did you performed?,6,0,6,42,31,0,0,0,0,0,0
ham,U can call me now...,5,1,5,20,13,2,0,0,0,0,0
ham,I am waiting machan. Call me once you free.,9,1,9,43,33,2,0,0,0,1,0
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,14,0,13,73,58,0,0,0,0,0,0
ham,I like you peoples very much:) but am very shy pa.,11,1,10,50,37,0,0,0,0,0,0
ham,Does not operate after  &lt;#&gt;  or what,7,0,7,42,29,0,0,0,0,0,0
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,16,0,16,76,57,0,0,0,0,0,0
ham,"Sorry, I'll call later",4,0,4,22,17,1,0,0,0,0,0
ham,K. Did you call me just now ah?,8,1,8,31,22,2,0,0,0,0,0
ham,Ok i am on the way to home hi hi,10,0,9,32,23,0,0,0,0,0,0
ham,You will be in the place of that man,9,0,9,36,28,0,0,0,0,0,0
ham,Yup next stop.,3,0,3,14,11,0,0,0,0,0,0
ham,"I call you later, don't have network. If urgnt, sms me.",11,1,11,55,40,1,0,0,0,0,0
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,26,2,23,121,91,0,0,1,0,0,0
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,31,2,27,144,110,0,0,0,0,0,0
ham,I'm really not up to it still tonight babe,9,0,9,42,33,0,0,0,0,0,0
ham,"Ela kano.,il download, come wen ur free..",7,0,7,41,30,1,0,0,0,1,0
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,10,0,10,58,44,0,0,0,0,0,0
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,39,1,33,194,149,0,0,2,0,0,0
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,26,2,19,141,113,0,0,1,0,0,0
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,23,1,23,137,89,3,1,22,0,0,0
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,20,2,19,107,82,0,0,3,0,0,0
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",29,5,27,158,104,2,0,18,0,1,0
ham,Watching telugu movie..wat abt u?,5,0,5,33,26,0,0,0,0,0,0
ham,i see. When we finish we have loads of loans to pay,12,0,11,51,39,0,0,0,0,0,0
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",37,0,33,178,134,1,0,0,0,0,0
ham,I see a cup of coffee animation,7,1,7,31,25,0,0,0,0,0,0
ham,Please don't text me anymore. I have nothing else to say.,11,1,11,57,44,1,0,0,0,0,0
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,21,2,20,81,59,0,0,0,0,0,0
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,16,0,16,76,57,0,0,1,0,0,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,0,21,160,128,0,0,1,0,0,0
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",36,2,29,183,140,0,0,0,0,0,0
ham,Umma my life and vava umma love you lot dear,10,0,9,44,35,0,0,0,0,0,0
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,17,0,13,95,77,0,0,0,0,0,0
ham,"Aight, I'll hit you up when I get some cash",10,1,10,43,32,0,0,0,0,0,0
ham,How would my ip address test that considering my computer isn't a minecraft server,14,0,13,82,68,0,0,0,0,0,0
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,24,2,23,115,86,0,0,0,0,0,0
ham,Dont worry. I guess he's busy.,6,1,6,30,22,0,0,0,0,0,0
ham,What is the plural of the noun research?,8,0,7,40,32,0,0,0,0,0,0
ham,Going for dinner.msg you after.,5,0,5,31,25,0,0,0,0,0,0
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,24,0,20,96,68,1,0,1,0,0,0
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,27,3,26,158,103,3,0,22,0,0,0
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",24,0,22,143,105,0,0,0,0,0,0
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",30,3,25,156,111,0,0,1,0,0,0
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),27,1,24,151,95,0,0,22,0,0,1
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,11,0,11,71,56,0,0,0,0,0,0
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,15,0,15,86,66,0,0,0,0,0,0
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,20,1,20,144,88,1,0,34,0,0,0
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",26,4,26,156,98,5,0,26,0,0,2
ham,here is my new address -apples&pairs&all that malarky,8,0,8,53,43,1,0,0,0,0,0
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,27,0,26,156,106,2,0,22,0,0,0
ham,I am going to sao mu today. Will be done only at 12,13,1,13,51,36,0,0,2,0,0,0
ham,Ü predict wat time ü'll finish buying?,7,1,7,38,30,0,0,0,0,0,0
ham,"Good stuff, will do.",4,0,4,20,15,0,0,0,0,0,0
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",46,2,33,244,190,2,0,0,0,0,0
ham,Are you there in room.,5,0,5,22,17,0,0,0,0,0,0
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,27,26,22,107,77,1,0,0,0,0,0
ham,K..k:)how much does it cost?,5,0,5,28,19,0,0,0,0,0,0
ham,I'm home.,2,0,2,9,6,0,0,0,0,0,0
ham,"Dear, will call Tmorrow.pls accomodate.",5,0,5,39,32,1,0,0,0,0,0
ham,First answer my question.,4,0,4,25,21,0,0,0,0,0,0
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,25,2,25,125,87,2,0,8,0,0,0
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,28,1,25,162,114,0,0,13,0,0,1
ham,I only haf msn. It's yijue@hotmail.com,6,1,6,38,29,0,0,0,1,0,1
ham,He is there. You call and meet him,8,0,8,34,26,1,0,0,0,0,0
ham,No no. I will check all rooms befor activities,9,1,8,46,37,0,0,0,0,0,0
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,31,2,30,155,115,2,0,5,0,1,0
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,20,3,18,85,54,0,0,0,0,0,0
ham,"K, text me when you're on the way",8,1,8,33,24,1,0,0,0,0,0
ham,"Sir, Waiting for your mail.",5,0,5,27,21,0,0,0,0,0,0
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",26,1,24,156,120,0,0,2,0,0,0
ham,I know you are. Can you pls open the back?,10,1,9,42,31,0,0,0,0,0,0
ham,Yes see ya not on the dot,7,0,7,25,19,0,0,0,0,0,0
ham,Whats the staff name who is taking class for us?,10,0,10,48,38,0,0,0,0,0,0
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",29,0,27,159,110,1,0,14,0,1,0
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,15,0,15,84,67,1,0,0,0,0,0
ham,K..i deleted my contact that why?,6,0,6,33,25,0,0,0,0,0,0
ham,Sindu got job in birla soft ..,6,0,6,30,22,0,0,0,0,0,0
ham,The wine is flowing and i'm i have nevering..,9,0,9,45,34,0,0,0,0,0,0
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,15,0,14,59,42,0,0,2,0,0,0
ham,Ok... Ur typical reply...,4,0,4,25,16,0,0,0,0,0,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,0,21,160,128,0,0,1,0,0,0
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",80,2,55,384,289,0,0,0,0,0,0
ham,Aaooooright are you at work?,5,0,5,28,23,0,0,0,0,0,0
ham,I'm leaving my house now...,5,0,5,27,19,1,0,0,0,0,0
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",32,0,24,157,117,0,0,0,0,0,0
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,19,0,17,124,93,3,0,11,0,0,0
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,27,1,24,145,95,0,0,20,0,0,0
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,24,3,19,115,91,0,0,0,0,0,0
ham,New car and house for my parents.:)i have only new job in hand:),13,0,12,64,47,2,0,0,0,0,0
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,19,0,14,85,62,0,0,0,0,0,0
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,24,8,20,152,103,0,0,13,1,0,3
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",30,5,26,155,119,0,0,1,0,0,1
ham,I place all ur points on e cultures module already.,10,1,10,51,41,0,0,0,0,0,0
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,27,3,26,156,106,4,1,18,0,0,0
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",13,0,13,74,59,0,0,0,0,0,0
ham,Great escape. I fancy the bridge but needs her lager. See you tomo,13,1,13,66,52,0,0,0,0,0,0
ham,Yes :)it completely in out of form:)clark also utter waste.,10,0,10,59,45,0,0,0,0,0,0
ham,"Sir, I need AXIS BANK account no and bank address.",10,3,9,50,39,0,0,0,0,0,0
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",20,0,19,93,61,2,0,1,0,1,0
ham,What time you coming down later?,6,0,6,32,26,0,0,0,0,0,0
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",20,0,20,104,78,0,0,0,0,0,0
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",11,0,11,61,44,1,0,0,0,0,0
ham,Let me know when you've got the money so carlos can make the call,14,0,13,65,51,2,0,0,0,0,0
ham,U still going to the mall?,6,1,6,26,20,0,0,0,0,0,0
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",27,0,25,146,102,1,0,0,0,1,0
ham,Text her. If she doesnt reply let me know so i can have her log in,16,0,15,66,50,1,0,0,0,0,0
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,25,2,22,126,97,1,0,0,0,1,0
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,31,1,27,159,125,2,0,1,0,0,0
ham,Lol no. U can trust me.,6,1,6,23,16,0,0,0,0,0,0
ham,ok. I am a gentleman and will treat you with dignity and respect.,13,1,12,65,51,0,0,0,0,0,0
ham,"He will, you guys close?",5,0,5,24,18,0,0,0,0,0,0
ham,Going on nothing great.bye,4,0,4,26,22,0,0,0,0,0,0
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,26,0,25,152,114,1,0,0,0,0,0
ham,"Haha awesome, be there in a minute",7,0,7,34,27,0,0,0,0,0,0
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,24,2,24,147,98,3,1,22,0,1,0
ham,Have you got Xmas radio times. If not i will get it now,13,0,13,55,42,1,0,0,0,0,0
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,19,2,18,88,65,0,0,0,0,0,0
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,10,0,10,72,56,0,0,2,1,0,0
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,38,0,31,185,140,0,0,0,0,0,0
ham,Hi :)finally i completed the course:),6,0,6,37,28,0,0,0,0,0,0
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,22,1,21,111,88,0,0,0,0,0,0
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,19,0,18,92,70,1,0,1,0,0,0
ham,Gud mrng dear hav a nice day,7,0,7,28,22,0,0,0,0,0,0
ham,Did u got that persons story,6,0,6,28,23,0,0,0,0,0,0
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,14,0,14,63,47,0,0,1,0,0,0
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,29,1,26,131,97,1,0,0,0,0,0
ham,"Found it, ENC  &lt;#&gt; , where you at?",7,1,7,40,24,0,0,0,0,0,0
ham,I sent you  &lt;#&gt;  bucks,5,1,5,28,17,0,0,0,0,0,0
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,18,0,17,84,67,2,0,0,0,0,0
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,23,3,18,174,131,0,0,0,0,0,0
ham,Goodmorning sleeping ga.,3,0,3,24,21,0,0,0,0,0,0
ham,U call me alter at 11 ok.,7,1,7,25,16,1,0,2,0,0,0
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,13,1,13,63,48,0,0,0,0,0,0
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",30,3,25,156,111,0,0,1,0,0,0
ham,"Aight yo, dats straight dogg",5,0,5,28,23,0,0,0,0,0,0
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,13,0,13,86,68,0,0,0,0,0,0
ham,Both :) i shoot big loads so get ready!,8,0,8,39,28,0,0,0,0,0,0
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",14,0,13,73,56,0,0,0,0,0,0
ham,Home so we can always chat,6,0,6,26,21,0,0,0,0,0,0
ham,K:)k:)good:)study well.,2,0,2,23,15,0,0,0,0,0,0
ham,Yup... How ü noe leh...,5,0,5,23,13,0,0,0,0,0,0
ham,Sounds great! Are you home now?,6,0,6,31,24,1,0,0,0,0,0
ham,Finally the match heading towards draw as your prediction.,9,0,9,58,49,0,0,0,0,0,0
ham,Tired. I haven't slept well the past few nights.,9,1,9,48,37,0,0,0,0,0,0
ham,Easy ah?sen got selected means its good..,7,0,7,41,32,0,0,0,0,0,0
ham,I have to take exam with march 3,8,1,8,32,24,0,0,1,0,0,0
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,35,1,28,159,120,1,0,0,0,0,0
ham,Ok no prob. Take ur time.,6,0,6,25,18,0,0,0,0,0,0
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,30,0,27,161,127,0,0,0,0,0,0
ham,"Sorry, I'll call later",4,0,4,22,17,1,0,0,0,0,0
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,26,2,23,119,88,0,0,0,0,0,0
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",20,4,20,142,79,2,0,31,1,0,1
ham,Would really appreciate if you call me. Just need someone to talk to.,13,0,12,69,55,1,0,0,0,0,0
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",30,3,26,137,100,2,0,2,0,1,0
ham,Hey company elama po mudyadhu.,5,0,5,30,25,0,0,0,0,0,0
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",25,0,18,165,127,0,0,0,0,0,0
ham,Dear good morning now only i am up,8,0,8,34,27,1,0,0,0,0,0
